categorie,name,energieKcal,proteines,glucides,sucres,lipides,agSature,fibres,sel,CodeCIQUAL,ChangementClimatique,provenanceISO
BISCUITS,Pain brioché,356.0,9.76,55.5,6.9,9.38,5.22,3.3,1.31,7225,2.6895628,FR
BISCUITS,Croissant au beurre,420.0,6.61,45.7,7.3,22.6,15.1,2.5,1.16,7620,4.2001445,FR
BISCUITS,Pain au lait,382.0,8.55,50.6,9.94,15.4,8.34,1.5,1.1,7710,3.5465768,FR
BISCUITS,Brioche,374.0,9.81,49.2,0.0,14.7,8.51,3.0,1.47,7741,4.9113198,FR
BISCUITS,Chouquette,381.0,7.76,42.6,27.1,18.6,9.89,6.1,1.08,23467,2.9137041,FR
BISCUITS,Biscuit sec,475.0,6.9,65.0,24.7,20.6,6.09,2.03,0.63,24001,4.4447267,FR
BOISSONS,Jus d'ananas,52.3,0.41,11.9,11.9,0.096,0.044,0.18,0.011,2073,,RE
BOISSONS,Jus multifruit,49.7,0.48,11.3,11.0,0.1,0.0,0.25,0.0038,2035,0.80120163,RE
BOISSONS,Jus de carotte,39.0,0.4,6.55,5.95,0.1,0.037,0.33,0.1,2006,, FR
BOISSONS,Jus de citron,22.0,0.49,2.41,2.06,0.24,0.04,0.3,0.0065,2007,,IT
BOISSONS,Jus d'orange,45.6,0.63,9.59,9.59,0.13,0.034,0.25,0.0084,2013,1.0328872,ES
BOISSONS,Jus de pomme,48.5,0.24,11.3,10.8,0.098,0.033,0.3,0.014,2074,0.41236842,FR
BOISSONS,Jus de mangue,41.0,0.19,9.5,9.3,0.0,0.0,0.0,0.028,2023,,BR
BOISSONS,Jus de fruit de la passion,50.0,0.67,14.3,14.3,0.18,0.015,0.2,0.015,2024,,BR
BOISSONS,Limonade. sucrée,40.0,0.04,8.45,8.45,0.02,0.0,0.0,0.015,18010,0.57218393,FR
BOISSONS,Coca,41.8,0.093,10.2,10.2,0.062,0.0,0.0,0.017,18018,0.57218393,FR
BOISSONS,Coca sans sucres,1.3,0.081,0.11,0.11,0.053,0.0,0.003,0.024,18060,0.57218393,FR
BOISSONS,Boisson énergisante,45.0,0.2,11.9,11.7,0.0,0.0,0.1,0.11,18352,0.51040287,FR
BOISSONS,Lait de coco,188.0,1.77,3.4,2.1,18.4,16.5,0.57,0.075,18041,0.52002689,ID
BOISSONS,Boisson à l'amande,44.4,0.69,3.96,3.44,2.8,0.58,0.5,0.095,18110,1.075705,ES
BOISSONS,Boisson au soja,37.1,3.31,0.7,0.4,2.07,0.26,0.6,0.061,18900,0.41691542,BR
BOISSONS,Boisson à base d'avoine,42.6,0.46,7.8,5.0,1.1,0.2,0.5,0.066,18905,0.36440051,FR
BOISSONS,Café prêt à boire,6.88,0.5,1.35,0.0,0.018,0.002,0.5,0.0067,18004,0.55651626,BR
BOISSONS,Thé infusé,0.063,0.0,0.0,0.0,0.007,0.002,0.0,0.0041,18020,0.051440352,CN
BOISSONS,Cacao en poudre,387.0,22.4,11.6,0.9,20.6,12.4,29.5,0.11,18100,26.447131,CI
BOISSONS,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,FR
BOISSONS,Pulco Citron,19.7,0.5,1.31,0.91,0.0,0.0,0.0,0.0035,18220,0.9380797,ES
CONDIMENTS,Cornichon,19.4,1.06,0.78,0.6,0.6,0.01,1.5,1.72,11004,,CN
CONDIMENTS,Moutarde,152.0,6.92,4.33,1.66,11.2,0.76,1.0,6.3,11013,1.6820828,FR
CONDIMENTS,Vinaigre,22.6,0.04,0.62,0.04,0.1,0.0,0.0,0.033,11018,1.1216712,FR
CONDIMENTS,Moutarde à l'ancienne,142.0,6.6,2.2,2.2,9.9,0.61,4.5,4.9,11021,1.8361293,FR
DIVERS,Crème de soja,133.0,3.25,2.03,1.6,14.7,1.65,0.0,0.063,11214,1.5296655,BR
DIVERS,Tofu soyeux,54.3,4.57,1.53,1.13,2.9,0.47,0.6,0.013,20906,0.67685595,BR
FECULENTS,Nouilles asiatiques,147.0,4.78,18.8,2.0,4.3,0.5,6.3,1.2,9085,1.1742068,FR
FECULENTS,Riz complet,158.0,3.21,32.6,0.2,1.0,0.17,2.3,0.01,9102,2.1617032,IN
FECULENTS,Riz blanc,145.0,2.92,31.8,0.2,0.41,0.076,0.8,0.01,9100,2.1617032,IN
FECULENTS,Riz rouge,141.0,3.45,28.2,0.0,0.69,0.0,4.0,0.0088,9109,2.1617032,IN
FECULENTS,Riz sauvage,102.0,3.8,19.7,0.73,0.34,0.049,1.8,0.0075,9108,2.1617032,IN
FECULENTS,Riz thaï,143.0,2.92,30.5,0.0,0.7,0.3,1.1,0.013,9124,2.1617032,IN
FECULENTS,Riz basmati,117.0,2.74,24.4,0.0,0.6,0.3,1.0,0.013,9119,2.1617032,IN
FECULENTS,Quinoa,149.0,4.66,27.9,0.87,1.1,0.14,3.8,0.015,9340,1.5831892,PE
FECULENTS,Polenta,77.5,1.38,16.9,0.1,0.3,0.01,1.6,0.01,9615,0.56047541,FR
FECULENTS,Graine de couscous,157.0,4.56,31.0,1.6,1.0,0.25,2.3,0.013,9683,0.56047541,FR
FECULENTS,Semoule fine,157.0,4.56,31.0,1.6,1.0,0.25,2.3,0.013,9683,0.56047541,FR
FECULENTS,Boulgour de blé,111.0,3.73,21.7,0.0,0.5,0.11,2.2,0.018,9690,0.87194232,FR
FECULENTS,Pâtes,126.0,3.99,25.0,0.6,0.55,0.11,1.9,0.01,9811,1.6654771,FR
FECULENTS,Pâtes fraîches aux oeufs,168.0,5.76,32.0,0.0,1.3,0.0,1.5,0.042,9815,1.31776,FR
FECULENTS,Pâtes sèches sans gluten,163.0,3.09,34.4,0.49,1.1,0.29,1.0,0.015,9874,1.7205726,FR
FECULENTS,Pâtes sèches complètes,128.0,4.55,23.4,0.6,0.9,0.099,3.3,0.01,9870,1.7205726,FR
FECULENTS,Vermicelle de riz cuite,89.3,1.43,20.1,0.2,0.5,0.01,0.5,0.024,9900,3.7200422,IN
FECULENTS,Vermicelle de soja cuite,61.2,0.57,14.4,0.0,0.1,0.0,0.8,0.0063,9902,,BR
FECULENTS,Gnocchi à la semoule cuit,185.0,5.6,34.4,0.2,2.4,0.4,1.8,1.2,25479,0.80022455,FR
FECULENTS,Gnocchi à la pomme de terre cuit,177.0,5.01,33.6,1.1,2.05,0.26,2.0,1.01,25510,0.80022455,FR
FECULENTS,Pain de mie,271.0,7.52,49.5,9.2,3.8,0.35,3.0,1.06,7200,2.1778077,FR
FECULENTS,Pain pour hamburger,293.0,9.07,49.7,5.88,5.35,0.88,3.3,1.14,7259,2.2903013,FR
FECULENTS,Tortilla,327.0,8.34,52.1,1.55,8.2,3.85,3.85,1.25,7813,0.97172067,FR
FECULENTS,Blini,271.0,5.98,33.7,3.14,11.2,3.19,2.35,1.32,23805,1.7330829,FR
FECULENTS,Biscotte classique,409.0,9.8,76.6,6.8,5.9,1.98,3.1,1.27,7300,0.86654173,FR
FECULENTS,Chapelure,374.0,11.6,70.0,6.9,3.77,0.94,4.5,1.82,7500,,FR
FECULENTS,Chips de maïs,495.0,6.56,59.5,2.62,24.7,9.98,4.19,1.42,38105,2.2443641,FR
FECULENTS,Fécule de pomme de terre,348.0,0.0,86.3,0.0,0.2,0.039,0.55,0.0094,4090,,FR
FECULENTS,Flocon d'avoine,367.0,13.3,57.9,0.97,6.51,1.13,10.2,0.014,9311,1.3017534,FR
FECULENTS,Farine de blé,350.0,9.03,73.7,1.5,1.0,0.19,3.2,0.13,9436,0.50663009,FR
FECULENTS,Fécule de maïs,362.0,0.43,89.2,0.0,0.25,0.009,0.8,0.019,9510,1.2241674,FR
FECULENTS,Farine de riz,357.0,7.62,73.9,0.9,2.5,0.46,3.3,0.13,9520,2.4197334,IN
FECULENTS,Farine de soja,460.0,35.8,22.9,7.5,21.4,3.04,10.0,0.019,20900,4.4725041,BR
FECULENTS,Pâte brisée matière grasse végétale,505.0,7.47,58.3,0.0,26.4,3.93,0.9,1.73,23412,5.4029701,FR
